date,MNDWI_area_ha,MNDWI_f1,MNDWI_iou,MNDWI_precision,MNDWI_recall,WatNet_area_ha,WatNet_f1,WatNet_iou,WatNet_precision,WatNet_recall,Prithvi_area_ha,Prithvi_f1,Prithvi_iou,Prithvi_precision,Prithvi_recall,OmniWaterMask_area_ha,OmniWaterMask_f1,OmniWaterMask_iou,OmniWaterMask_precision,OmniWaterMask_recall
20220329,104.83,0.7991,0.6655,0.9715,0.6788,157.25,0.7629,0.6167,0.7335,0.7948,115.42,0.8046,0.673,0.9024,0.7259,120.93,0.9006,0.8193,0.9977,0.8208
20220408,115.96,0.8493,0.738,0.9718,0.7542,154.88,0.7726,0.6294,0.7473,0.7997,105.49,0.8133,0.6854,0.9585,0.7063,108.01,0.8554,0.7473,0.9967,0.7492
20220727,63.55,0.5638,0.3925,0.9468,0.4014,116.69,0.8427,0.7282,0.9502,0.7571,107.14,0.7974,0.663,0.9332,0.6961,122.68,0.903,0.8232,0.9974,0.8249
20220930,119.66,0.8537,0.7447,0.9603,0.7684,133.7,0.8954,0.8106,0.9408,0.8542,130.17,0.8792,0.7845,0.9293,0.8343,131.22,0.9088,0.8329,0.9655,0.8584
20230314,106.4,0.806,0.6751,0.9711,0.6889,141.28,0.8143,0.6868,0.8303,0.7989,110.89,0.8404,0.7248,0.9648,0.7445,119.83,0.8934,0.8074,0.9954,0.8104
20230503,110.01,0.8236,0.7001,0.9726,0.7141,116.21,0.8734,0.7752,0.9885,0.7823,96.22,0.786,0.6475,0.9775,0.6573,123.27,0.9038,0.8244,0.9956,0.8275
20231015,98.24,0.7635,0.6174,0.9648,0.6316,137.95,0.8152,0.6881,0.8416,0.7904,110.68,0.8526,0.7431,0.9825,0.7531,118.63,0.8895,0.801,0.9986,0.802
20240207,34.61,0.3471,0.21,0.9123,0.2143,182.52,0.7459,0.5948,0.6721,0.8379,109.28,0.8529,0.7435,0.9881,0.7502,123.25,0.904,0.8249,0.9937,0.8292
20240412,107.72,0.8108,0.6818,0.9699,0.6966,120.71,0.8595,0.7535,0.9522,0.7831,102.73,0.8242,0.7009,0.9869,0.7075,123.58,0.9067,0.8294,0.9974,0.8312
20240726,96.68,0.7271,0.5712,0.9158,0.6029,83.85,0.6906,0.5274,0.9366,0.5469,71.72,0.6182,0.4474,0.9362,0.4615,95.48,0.7362,0.5825,0.9246,0.6115
20241024,106.47,0.8059,0.6749,0.9702,0.6892,140.13,0.8653,0.7626,0.8867,0.8449,117.41,0.8823,0.7894,0.9857,0.7985,127.39,0.9015,0.8206,0.9734,0.8395
