hsg,land_use,cn
A,residential_quarter_ac,51
A,residential_third_ac,36
A,impervious_road_parking,98
A,open_space_fair_cover,49
A,water_body,0
B,residential_quarter_ac,68
B,residential_third_ac,60
B,impervious_road_parking,98
B,open_space_fair_cover,69
B,water_body,0
C,residential_quarter_ac,79
C,residential_third_ac,73
C,impervious_road_parking,98
C,open_space_fair_cover,79
C,water_body,0
D,residential_quarter_ac,84
D,residential_third_ac,79
D,impervious_road_parking,98
D,open_space_fair_cover,84
D,water_body,0
