mukey_int,mukey,muname,hsg,fc_mm_hr
1,1542264,"Candler sand, 12 to 40 percent slopes",A,889.2
2,1542266,Cassia sand,A,100.8
3,1542288,"Orlando fine sand, 0 to 5 percent slopes",A,331.2
4,1542304,Water,B,10.0
5,1603135,"Candler sand, 0 to 5 percent slopes",A,507.6
6,1603136,"Candler sand, 5 to 12 percent slopes",A,889.2
7,323141,"Florahome fine sand, 0 to 5 percent slopes",A,331.2
8,323143,"Basinger fine sand, frequently ponded, 0 to 1 percent slopes",A,331.2
9,323154,"Candler fine sand, 0 to 5 percent slopes",A,330.26
10,323165,"Candler fine sand, 5 to 12 percent slopes",A,331.2
11,323176,Water,B,10.0
